Date,prcp
2008-01-01,3.49837962962963e-05
2008-02-01,4.458719135802469e-05
2008-03-01,3.400385802469136e-05
2008-04-01,3.557175925925926e-05
2008-05-01,3.0868055555555554e-05
2008-06-01,2.5478395061728395e-06
2008-07-01,4.419521604938271e-05
2008-08-01,4.644907407407407e-05
2008-09-01,2.5772376543209875e-05
2008-10-01,3.5767746913580246e-05
2008-11-01,4.7820987654320984e-05
2008-12-01,4.390123456790123e-05
2009-01-01,2.097067901234568e-05
2009-02-01,1.3523148148148145e-05
2009-03-01,4.370524691358024e-05
2009-04-01,3.6845679012345676e-05
2009-05-01,4.135339506172839e-05
2009-06-01,3.6551697530864194e-05
2009-07-01,3.48858024691358e-05
2009-08-01,2.3910493827160492e-05
2009-09-01,4.419521604938271e-05
2009-10-01,3.253395061728395e-05
2009-11-01,5.468055555555556e-05
2009-12-01,8.192283950617282e-05
2010-01-01,3.851157407407407e-05
2010-02-01,1.4503086419753084e-05
2010-03-01,2.3420524691358025e-05
2010-04-01,1.0877314814814812e-05
2010-05-01,1.665895061728395e-05
2010-06-01,6.418595679012346e-05
2010-07-01,2.5772376543209875e-05
2010-08-01,3.077006172839506e-05
2010-09-01,1.5483024691358025e-05
2010-10-01,4.409722222222222e-06
2010-11-01,2.0186728395061728e-05
2010-12-01,1.665895061728395e-05
2011-01-01,2.0186728395061728e-05
2011-02-01,3.870756172839506e-05
2011-03-01,6.48719135802469e-05
2011-04-01,2.332253086419753e-05
2011-05-01,2.773225308641975e-05
2011-06-01,1.9304783950617283e-05
2011-07-01,1.763888888888889e-05
2011-08-01,1.7442901234567904e-05
2011-09-01,3.606172839506173e-05
2011-10-01,1.8128858024691356e-05
2011-11-01,1.9794753086419753e-05
2011-12-01,1.538503086419753e-05
2012-01-01,1.7834876543209875e-05
2012-02-01,1.3719135802469134e-05
2012-03-01,2.430246913580247e-05
2012-04-01,1.5972993827160492e-05
2012-05-01,8.153086419753087e-05
2012-06-01,3.713966049382715e-05
2012-07-01,2.2832561728395062e-05
2012-08-01,6.349999999999998e-05
2012-09-01,2.596836419753086e-05
2012-10-01,5.095679012345679e-06
2012-11-01,1.8520833333333334e-05
2012-12-01,5.0760802469135794e-05
2013-01-01,1.2249228395061728e-05
2013-02-01,7.290740740740741e-05
2013-03-01,4.341126543209876e-05
2013-04-01,3.8315586419753084e-05
2013-05-01,2.3616512345679014e-05
2013-06-01,0.00015394830246913578
2013-07-01,6.643981481481481e-05
2013-08-01,7.261342592592592e-05
2013-09-01,1.2347222222222219e-05
2013-10-01,8.231481481481481e-06
2013-11-01,1.8226851851851852e-05
2013-12-01,4.2235339506172834e-05
2014-01-01,2.9594135802469132e-05
2014-02-01,4.272530864197531e-05
2014-03-01,2.822222222222222e-05
2014-04-01,4.272530864197531e-05
2014-05-01,2.097067901234568e-05
2014-06-01,9.025231481481482e-05
2014-07-01,4.3215277777777775e-05
2014-08-01,3.3905864197530867e-05
